Neighborhood,Latitude,Longitude,Venue Name,Venue Latitude,Venue Longitude,Category
Bath Beach,40.599518702822415,-73.99875221443526,Bensonhurst Park,40.59706512836673,-73.99834018927032,Park
Bath Beach,40.599518702822415,-73.99875221443526,Bay Parkway Water Front,40.595941083263355,-74.00091684248035,Surf Spot
Bath Beach,40.599518702822415,-73.99875221443526,Five Guys,40.5952363,-74.0002255,Burger Joint
Bath Beach,40.599518702822415,-73.99875221443526,Carvel,40.59873282517246,-73.99767033981745,Ice Cream Shop
Bath Beach,40.599518702822415,-73.99875221443526,Pino's Ristorante,40.60095549134201,-74.00080555696856,Italian Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Lutzina Bar&Lounge,40.600806772347404,-74.00057826419268,Hookah Bar
Bath Beach,40.599518702822415,-73.99875221443526,German Chocolate Cake,40.59628423084234,-73.99754251009294,German Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Golden Bun Bakery,40.60196235708771,-73.99402451118084,Bakery
Bath Beach,40.599518702822415,-73.99875221443526,Istanbul Turkish Fast Food & Restaurant,40.60177064956682,-73.99385594134259,Turkish Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Starbucks,40.59522682860779,-74.00001700705624,Coffee Shop
Bath Beach,40.599518702822415,-73.99875221443526,Ichi Sushi,40.60177410615188,-73.99386866086485,Sushi Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Chipotle Mexican Grill,40.603343,-73.996465,Mexican Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Choi Fook,40.60380104533078,-73.99706030622109,Dim Sum Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,La Bella Pizza Express,40.60200450936564,-73.99412688007006,Pizza Place
Bath Beach,40.599518702822415,-73.99875221443526,Sweet House Drinks And Desserts,40.60291763540403,-73.99547275394062,Dessert Shop
Bath Beach,40.599518702822415,-73.99875221443526,Kung Fu Tea,40.60203,-73.99431,Bubble Tea Shop
Bath Beach,40.599518702822415,-73.99875221443526,Vivi Bubble Tea,40.60231190315835,-73.99431243359834,Bubble Tea Shop
Bath Beach,40.599518702822415,-73.99875221443526,Casa Edesia Pizza and Grill,40.599751,-74.002672,Italian Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,La granja,40.602022999999996,-74.003039,Peruvian Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Lazzat Restaurant,40.60161865426119,-74.00151939557935,Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Charisma Bay,40.601963,-73.994462,Chinese Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,CVS pharmacy,40.59994334284435,-74.00256830373442,Pharmacy
Bath Beach,40.599518702822415,-73.99875221443526,BP,40.598402,-73.997468,Gas Station
Bath Beach,40.599518702822415,-73.99875221443526,Happy Seafood Restaurant,40.602504639789174,-73.99505289699076,Chinese Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Capital One Bank,40.602314046068,-73.99506539106483,Bank
Bath Beach,40.599518702822415,-73.99875221443526,Dunkin',40.602027893066406,-73.99456787109375,Donut Shop
Bath Beach,40.599518702822415,-73.99875221443526,Golden Bay Restaurant,40.60253428582102,-73.9950322275292,Cantonese Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Burger King,40.6021572477629,-73.9945639378856,Fast Food Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Dunkin',40.59810002493462,-73.9972249060587,Donut Shop
Bath Beach,40.599518702822415,-73.99875221443526,Rite Aid,40.602191223694064,-73.99914934245267,Pharmacy
Bath Beach,40.599518702822415,-73.99875221443526,Shell,40.60016882585737,-74.0025674030433,Gas Station
Bath Beach,40.599518702822415,-73.99875221443526,Kung Fu Restaurant,40.60178974142826,-74.00229706990487,Asian Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Wendy’s,40.5954753408108,-74.00020211935043,Fast Food Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Verizon,40.60290710028119,-73.99485773873494,Mobile Phone Shop
Bath Beach,40.599518702822415,-73.99875221443526,Johny's Place,40.59849166870117,-73.99774169921875,Pizza Place
Bath Beach,40.599518702822415,-73.99875221443526,TequilaVille Mexican Bar & Grill,40.599517822265625,-73.99923706054688,Sports Bar
Bath Beach,40.599518702822415,-73.99875221443526,PAYOMATIC,40.6000074,-73.9991147,Check Cashing Service
Bath Beach,40.599518702822415,-73.99875221443526,Piccolo's,40.59814980436864,-73.99797291293929,Pizza Place
Bath Beach,40.599518702822415,-73.99875221443526,Cafe Avat,40.598704,-73.997984,Middle Eastern Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Diamond Flowers,40.59899139404297,-73.99773406982422,Flower Shop
Bath Beach,40.599518702822415,-73.99875221443526,Pizza Hangout,40.599095,-73.997682,Pizza Place
Bath Beach,40.599518702822415,-73.99875221443526,GameStop,40.602770064227045,-73.99494541321205,Video Game Store
Bath Beach,40.599518702822415,-73.99875221443526,Double Happy,40.59782779881638,-73.99620538575003,Chinese Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Kagetsu,40.60119,-74.001486,Sushi Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Beritos Deli Corp,40.59758711932035,-73.99611598882284,Deli / Bodega
Bath Beach,40.599518702822415,-73.99875221443526,Friend's Gyro,40.60194,-74.002036,Halal Restaurant
Bath Beach,40.599518702822415,-73.99875221443526,Benson Playground,40.602118101806916,-74.00222524108362,Playground
Bath Beach,40.599518702822415,-73.99875221443526,SUBWAY,40.602968419001414,-73.99556147681758,Sandwich Place
Bath Beach,40.599518702822415,-73.99875221443526,Bensonhurst Family Vision,40.602441,-73.99517900000001,Optical Shop
Bath Beach,40.599518702822415,-73.99875221443526,Amazing Aquarium,40.602647,-73.995199,Pet Store
Bath Beach,40.599518702822415,-73.99875221443526,GAP,40.60331170531391,-73.99575593471373,Clothing Store
Bath Beach,40.599518702822415,-73.99875221443526,Tiger Sugar,40.60277535782667,-73.99530708789825,Bubble Tea Shop
Bath Beach,40.599518702822415,-73.99875221443526,Hi Tech Construction NY,40.598045349121094,-74.00413513183594,Construction & Landscaping
